code,,level,category,state,ppd,address,postcode,city,longitude,latitude
ABA0001,SEKOLAH KEBANGSAAN TOH TANDEWA SAKTI,Rendah,SK,PERAK,PPD BATANG PADANG,JALAN KELAB,35000,TAPAH,101.255932,4.196633
ABA0002,SEKOLAH KEBANGSAAN PENDITA ZA'BA,Rendah,SK,PERAK,PPD BATANG PADANG,JALAN TAPAH ROAD,35400,TAPAH ROAD,101.200617,4.178276
ABA0003,SEKOLAH KEBANGSAAN BANIR,Rendah,SK,PERAK,PPD BATANG PADANG,BANIR,35400,TAPAH ROAD,101.181893,4.204361
ABA0004,SEKOLAH KEBANGSAAN TEMOH,Rendah,SK,PERAK,PPD BATANG PADANG,KAMPUNG TEMOH STESEN,35350,TEMOH,101.172819,4.235841
ABA0005,SEKOLAH KEBANGSAAN CHENDERIANG,Rendah,SK,PERAK,PPD BATANG PADANG,JALAN CHENDERIANG,35300,CHENDERIANG,101.240556,4.267980
ABA0006,SEKOLAH KEBANGSAAN BIDOR,Rendah,SK,PERAK,PPD BATANG PADANG,JALAN SUNGKAI,35500,BIDOR,101.288553,4.107830
ABA0007,SEKOLAH KEBANGSAAN KAMPONG POH,Rendah,SK,PERAK,PPD BATANG PADANG,KAMPONG POH,35500,BIDOR,101.333928,4.087714
ABA0008,SEKOLAH KEBANGSAAN BATU TIGA,Rendah,SK,PERAK,PPD BATANG PADANG,KAMPUNG BATU TIGA,35350,TEMOH,101.227594,4.225045
ABA0009,SEKOLAH KEBANGSAAN BATU MELINTANG,Rendah,SK,PERAK,PPD BATANG PADANG,KAMPUNG BATU MELINTANG,35000,TAPAH,101.284999,4.199232
ABA0010,SEKOLAH KEBANGSAAN HAJI HASAN,Rendah,SK,PERAK,PPD BATANG PADANG,CHANGKAT PETAI,35400,TAPAH ROAD,101.151000,4.126494
ABA0011,SEKOLAH KEBANGSAAN SRI KINJANG,Rendah,SK,PERAK,PPD BATANG PADANG,CHENDERIANG,35300,CHENDERIANG,101.246669,4.298925
ABA0012,SEKOLAH KEBANGSAAN KAMPONG PAHANG,Rendah,SK,PERAK,PPD BATANG PADANG,JALAN PAHANG,35000,TAPAH,101.290635,4.224792
