"name","ppd","level","category","code","address","postcode","city","state","longitude","latitude"
"SEKOLAH KEBANGSAAN TOH TANDEWA SAKTI","PPD BATANG PADANG","Rendah","SK","ABA0001","JALAN KELAB","35000","TAPAH","PERAK","101.255932","4.196633"
"SEKOLAH KEBANGSAAN PENDITA ZA'BA","PPD BATANG PADANG","Rendah","SK","ABA0002","JALAN TAPAH ROAD","35400","TAPAH ROAD","PERAK","101.200617","4.178276"
"SEKOLAH KEBANGSAAN BANIR","PPD BATANG PADANG","Rendah","SK","ABA0003","BANIR","35400","TAPAH ROAD","PERAK","101.181893","4.204361"
"SEKOLAH KEBANGSAAN TEMOH","PPD BATANG PADANG","Rendah","SK","ABA0004","KAMPUNG TEMOH STESEN","35350","TEMOH","PERAK","101.172819","4.235841"
"SEKOLAH KEBANGSAAN CHENDERIANG","PPD BATANG PADANG","Rendah","SK","ABA0005","JALAN CHENDERIANG","35300","CHENDERIANG","PERAK","101.240556","4.267980"
"SEKOLAH KEBANGSAAN BIDOR","PPD BATANG PADANG","Rendah","SK","ABA0006","JALAN SUNGKAI","35500","BIDOR","PERAK","101.288553","4.107830"
"SEKOLAH KEBANGSAAN KAMPONG POH","PPD BATANG PADANG","Rendah","SK","ABA0007","KAMPONG POH","35500","BIDOR","PERAK","101.333928","4.087714"
"SEKOLAH KEBANGSAAN BATU TIGA","PPD BATANG PADANG","Rendah","SK","ABA0008","KAMPUNG BATU TIGA","35350","TEMOH","PERAK","101.227594","4.225045"
"SEKOLAH KEBANGSAAN BATU MELINTANG","PPD BATANG PADANG","Rendah","SK","ABA0009","KAMPUNG BATU MELINTANG","35000","TAPAH","PERAK","101.284999","4.199232"
"SEKOLAH KEBANGSAAN HAJI HASAN","PPD BATANG PADANG","Rendah","SK","ABA0010","CHANGKAT PETAI","35400","TAPAH ROAD","PERAK","101.151000","4.126494"
"SEKOLAH KEBANGSAAN SRI KINJANG","PPD BATANG PADANG","Rendah","SK","ABA0011","CHENDERIANG","35300","CHENDERIANG","PERAK","101.246669","4.298925"
"SEKOLAH KEBANGSAAN KAMPONG PAHANG","PPD BATANG PADANG","Rendah","SK","ABA0012","JALAN PAHANG","35000","TAPAH","PERAK","101.290635","4.224792"
"SEKOLAH KEBANGSAAN BATU TUJUH","PPD BATANG PADANG","Rendah","SK","ABA0013","JALAN PAHANG","35000","TAPAH","PERAK","101.318631","4.250268"
"SEKOLAH KEBANGSAAN JERAM MENGKUANG","PPD BATANG PADANG","Rendah","SK","ABA0014","BATU 5, JERAM MENGKUANG","35500","BIDOR","PERAK","101.241413","4.067268"
